<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURJPY,20020122,00:00:00,117.3400,117.2800,118.7300,118.6000
EURJPY,20020123,00:00:00,118.6100,117.8200,119.1300,118.0500
EURJPY,20020124,00:00:00,118.0400,117.5800,118.3100,118.2900
EURJPY,20020125,00:00:00,118.2800,115.8700,118.3900,116.3200
EURJPY,20020128,00:00:00,116.6000,114.5400,116.6600,115.1000
EURJPY,20020129,00:00:00,115.1000,114.3900,115.5900,115.4400
EURJPY,20020130,00:00:00,115.4500,114.3000,115.6200,114.4300
EURJPY,20020131,00:00:00,114.4400,114.3200,115.9500,115.7400
EURJPY,20020201,00:00:00,115.7300,114.5800,115.8700,114.6600
EURJPY,20020204,00:00:00,114.7100,114.5100,115.2800,115.0400
EURJPY,20020205,00:00:00,115.0300,114.7400,116.5300,116.1000
EURJPY,20020206,00:00:00,116.0900,115.2600,116.4400,115.9600
EURJPY,20020207,00:00:00,115.9500,115.6700,116.4300,116.3500
EURJPY,20020208,00:00:00,116.3400,116.3000,117.7800,117.5000
EURJPY,20020211,00:00:00,117.4300,116.7700,117.9100,116.9000
EURJPY,20020212,00:00:00,116.9100,116.1500,117.6100,116.2700
EURJPY,20020213,00:00:00,116.2800,115.4900,116.7100,116.0300
EURJPY,20020214,00:00:00,116.0200,114.8100,116.0600,115.4500
EURJPY,20020215,00:00:00,115.4600,115.2500,116.2300,115.7600
EURJPY,20020218,00:00:00,115.8600,115.3300,115.9400,115.4900
EURJPY,20020219,00:00:00,115.5000,115.4300,117.1500,117.1100
EURJPY,20020220,00:00:00,117.1200,116.2300,117.1400,116.2800
EURJPY,20020221,00:00:00,116.2900,116.0500,117.1000,116.8100
EURJPY,20020222,00:00:00,116.8200,116.4200,117.5400,117.3400
EURJPY,20020225,00:00:00,117.3700,116.2400,117.4200,116.3900
EURJPY,20020226,00:00:00,116.3800,116.0000,116.8000,116.2900
EURJPY,20020227,00:00:00,116.3000,115.9700,116.7200,116.3100
EURJPY,20020228,00:00:00,116.3000,115.5200,116.3400,115.9100
EURJPY,20020301,00:00:00,115.9000,115.0600,116.1400,115.3000
EURJPY,20020304,00:00:00,115.5200,114.0700,115.5600,114.8500
EURJPY,20020305,00:00:00,114.8600,114.2200,115.3300,115.2800
EURJPY,20020306,00:00:00,115.2700,114.4700,115.3000,114.5300
EURJPY,20020307,00:00:00,114.5200,111.3100,114.8000,112.5400
EURJPY,20020308,00:00:00,112.5300,111.9500,112.7400,112.3600
EURJPY,20020311,00:00:00,112.3700,111.9500,112.9600,112.2000
EURJPY,20020312,00:00:00,112.1900,112.0600,113.2000,113.0900
EURJPY,20020313,00:00:00,113.1000,112.7600,113.6100,113.3500
EURJPY,20020314,00:00:00,113.3500,112.8700,114.0900,114.0500
EURJPY,20020315,00:00:00,114.0400,113.7900,114.4600,113.9500
EURJPY,20020318,00:00:00,113.8800,113.8500,115.9400,115.7800
EURJPY,20020319,00:00:00,115.7900,115.4900,116.6400,116.5100
EURJPY,20020320,00:00:00,116.5000,115.6800,116.6800,116.2700
EURJPY,20020321,00:00:00,116.2700,116.1200,116.6800,116.4800
EURJPY,20020322,00:00:00,116.4600,116.2000,116.9300,116.4700
EURJPY,20020325,00:00:00,116.4900,116.2200,117.0700,116.9400
EURJPY,20020326,00:00:00,116.9300,116.0300,117.0300,116.7200
EURJPY,20020327,00:00:00,116.7100,115.5700,116.7900,115.7200
EURJPY,20020328,00:00:00,115.7300,115.3200,115.8900,115.6400
EURJPY,20020329,00:00:00,115.6300,115.3800,116.0300,115.7000
EURJPY,20020401,00:00:00,115.6400,115.6000,117.6500,117.4800
EURJPY,20020402,00:00:00,117.4900,116.8600,117.5400,117.2300
EURJPY,20020403,00:00:00,117.2400,116.4900,117.2500,116.9200
EURJPY,20020404,00:00:00,116.9100,115.9800,117.1900,116.2100
EURJPY,20020405,00:00:00,116.2000,115.5700,116.2900,115.7200
EURJPY,20020408,00:00:00,115.7800,114.6600,115.9000,115.1500
EURJPY,20020409,00:00:00,115.1400,114.8200,115.4800,115.0300
EURJPY,20020410,00:00:00,115.0400,114.6500,115.2200,115.0700
EURJPY,20020411,00:00:00,115.0700,114.9900,116.3600,115.9600
EURJPY,20020412,00:00:00,115.9700,115.7500,116.5300,116.1100
EURJPY,20020415,00:00:00,116.0900,115.6100,116.5000,116.1800
EURJPY,20020416,00:00:00,116.1700,115.3600,116.2300,115.7600
EURJPY,20020417,00:00:00,115.7500,115.5400,116.3700,116.2900
EURJPY,20020418,00:00:00,116.3000,114.9600,116.4300,115.8100
EURJPY,20020419,00:00:00,115.8200,115.7000,116.2200,116.1800
EURJPY,20020422,00:00:00,116.1900,115.0400,116.2400,115.6700
EURJPY,20020423,00:00:00,115.6800,115.1300,115.7400,115.6600
EURJPY,20020424,00:00:00,115.6700,115.3400,115.8300,115.6500
