ticker,date,time,open,low,high,close
EURCHF,20090413,00:00:00,1.5232,1.5131,1.5243,1.5144
EURCHF,20090414,00:00:00,1.5145,1.5076,1.5182,1.5081
EURCHF,20090415,00:00:00,1.5081,1.5075,1.5152,1.5112
EURCHF,20090416,00:00:00,1.5110,1.5079,1.5150,1.5117
EURCHF,20090417,00:00:00,1.5117,1.5092,1.5234,1.5201
EURCHF,20090420,00:00:00,1.5214,1.5096,1.5220,1.5106
EURCHF,20090421,00:00:00,1.5105,1.5096,1.5154,1.5113
EURCHF,20090422,00:00:00,1.5114,1.5089,1.5161,1.5129
EURCHF,20090423,00:00:00,1.5130,1.5093,1.5195,1.5120
EURCHF,20090424,00:00:00,1.5121,1.5071,1.5140,1.5087
EURCHF,20090427,00:00:00,1.5070,1.5027,1.5087,1.5054
EURCHF,20090428,00:00:00,1.5053,1.5021,1.5069,1.5025
EURCHF,20090429,00:00:00,1.5026,1.5013,1.5106,1.5064
EURCHF,20090430,00:00:00,1.5066,1.5047,1.5124,1.5089
EURCHF,20090501,00:00:00,1.5090,1.5059,1.5124,1.5069
EURCHF,20090504,00:00:00,1.5074,1.5071,1.5113,1.5103
EURCHF,20090505,00:00:00,1.5104,1.5069,1.5146,1.5089
EURCHF,20090506,00:00:00,1.5090,1.5054,1.5106,1.5082
EURCHF,20090507,00:00:00,1.5083,1.5073,1.5171,1.5131
EURCHF,20090508,00:00:00,1.5130,1.5057,1.5155,1.5076
EURCHF,20090511,00:00:00,1.5074,1.5034,1.5089,1.5070
EURCHF,20090512,00:00:00,1.5069,1.5059,1.5092,1.5084
EURCHF,20090513,00:00:00,1.5085,1.5037,1.5088,1.5049
EURCHF,20090514,00:00:00,1.5050,1.5036,1.5083,1.5056
EURCHF,20090515,00:00:00,1.5055,1.5005,1.5142,1.5135
EURCHF,20090518,00:00:00,1.5124,1.5092,1.5143,1.5103
EURCHF,20090519,00:00:00,1.5104,1.5098,1.5164,1.5116
EURCHF,20090520,00:00:00,1.5117,1.5100,1.5178,1.5156
EURCHF,20090521,00:00:00,1.5156,1.5129,1.5212,1.5188
EURCHF,20090522,00:00:00,1.5189,1.5179,1.5231,1.5184
EURCHF,20090525,00:00:00,1.5204,1.5158,1.5208,1.5173
EURCHF,20090526,00:00:00,1.5172,1.5124,1.5180,1.5160
EURCHF,20090527,00:00:00,1.5159,1.5106,1.5169,1.5115
EURCHF,20090528,00:00:00,1.5114,1.5093,1.5139,1.5117
EURCHF,20090529,00:00:00,1.5118,1.5074,1.5156,1.5090
EURCHF,20090601,00:00:00,1.5076,1.5076,1.5182,1.5151
EURCHF,20090602,00:00:00,1.5151,1.5117,1.5193,1.5182
EURCHF,20090603,00:00:00,1.5183,1.5119,1.5204,1.5145
EURCHF,20090604,00:00:00,1.5145,1.5099,1.5165,1.5158
EURCHF,20090605,00:00:00,1.5159,1.5148,1.5232,1.5165
EURCHF,20090608,00:00:00,1.5159,1.5154,1.5211,1.5170
EURCHF,20090609,00:00:00,1.5169,1.5147,1.5183,1.5164
EURCHF,20090610,00:00:00,1.5164,1.5103,1.5175,1.5110
EURCHF,20090611,00:00:00,1.5111,1.5089,1.5140,1.5097
EURCHF,20090612,00:00:00,1.5096,1.5082,1.5127,1.5125
EURCHF,20090615,00:00:00,1.5113,1.5052,1.5127,1.5058
EURCHF,20090616,00:00:00,1.5059,1.5052,1.5083,1.5060
EURCHF,20090617,00:00:00,1.5059,1.5042,1.5108,1.5054
EURCHF,20090618,00:00:00,1.5053,1.5004,1.5143,1.5095
EURCHF,20090619,00:00:00,1.5094,1.5058,1.5124,1.5065
EURCHF,20090622,00:00:00,1.5060,1.5048,1.5074,1.5053
EURCHF,20090623,00:00:00,1.5054,1.5010,1.5059,1.5013
